timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.062,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
0.095,0.3694,0.3129,0.4259,0,0,0,0.0000,51.2745,42.2160,-5.03,22.31,168.88,-0.0583
0.125,0.3678,0.3500,0.3857,0,0,0,0.0000,50.6829,44.2131,-0.96,18.13,170.70,-0.0601
0.151,0.3720,0.3465,0.3976,0,0,0,0.0000,50.9873,43.5127,-1.01,17.06,170.42,-0.0615
0.167,0.3691,0.3423,0.3958,0,0,0,0.0000,49.8699,44.3902,-0.76,16.18,170.24,-0.0619
0.198,0.3542,0.3339,0.3744,0,0,0,0.0000,50.3342,44.7589,-0.31,15.60,170.20,-0.0622
0.228,0.3523,0.3347,0.3699,0,0,0,0.0000,47.3840,44.7583,-0.90,15.59,169.96,-0.0617
0.244,0.3515,0.3264,0.3765,0,0,0,0.0000,48.8280,43.0927,-1.23,15.37,170.04,-0.0614
0.260,0.3489,0.3249,0.3730,0,0,0,0.0000,48.4606,43.8805,-1.22,14.54,170.44,-0.0624
0.276,0.3475,0.3372,0.3578,0,0,0,0.0000,49.0841,42.9439,-0.61,14.34,170.84,-0.0626
0.308,0.3517,0.3392,0.3641,0,0,0,0.0000,49.0046,42.7925,-1.25,15.07,170.82,-0.0623
0.338,0.3558,0.3399,0.3717,0,0,0,0.0000,51.2072,43.2605,-1.53,15.23,171.09,-0.0620
0.371,0.3580,0.3409,0.3752,0,0,0,0.0000,50.8543,43.8110,-1.35,15.74,170.88,-0.0614
0.400,0.3421,0.3345,0.3498,0,0,0,0.0000,51.4986,42.1494,-1.06,15.41,170.87,-0.0620
0.415,0.3477,0.3368,0.3585,0,0,0,0.0000,51.4738,43.0969,-0.35,15.25,171.33,-0.0620
0.430,0.3409,0.3288,0.3529,0,0,0,0.0000,50.5016,43.3461,-0.25,14.93,171.11,-0.0614
0.447,0.3496,0.3292,0.3700,0,0,0,0.0000,51.4768,42.8839,-0.16,14.61,171.40,-0.0610
0.479,0.3368,0.3311,0.3426,0,0,0,0.0000,50.9603,44.2957,0.68,13.67,171.33,-0.0604
0.510,0.3326,0.3269,0.3383,0,0,0,0.0000,50.5392,45.3887,0.67,13.76,171.19,-0.0608
0.541,0.3314,0.3250,0.3379,0,0,0,0.0000,50.4666,45.7699,1.27,13.54,171.22,-0.0607
0.575,0.3288,0.3222,0.3354,0,0,0,0.0000,49.9038,46.0478,2.63,12.20,171.65,-0.0612
0.602,0.3273,0.3162,0.3383,0,0,0,0.0000,50.4045,44.3183,1.56,13.23,171.50,-0.0615
0.635,0.3367,0.3193,0.3541,0,0,0,0.0000,50.6747,43.0850,3.70,13.41,172.27,-0.0628
0.666,0.3440,0.3190,0.3690,0,0,0,0.0000,50.4886,43.2319,3.18,14.23,172.25,-0.0626
0.697,0.3560,0.3384,0.3735,0,0,0,0.0000,50.5798,43.1414,4.06,13.28,172.27,-0.0624
0.723,0.3452,0.3309,0.3595,0,0,0,0.0000,50.6640,45.7515,4.22,11.46,171.86,-0.0622
0.744,0.3323,0.3162,0.3483,0,0,0,0.0000,53.5292,46.6805,3.32,10.45,171.90,-0.0617
0.775,0.3143,0.3043,0.3243,0,0,0,0.0000,50.6605,51.1643,2.26,9.98,171.90,-0.0619
0.814,0.3293,0.3209,0.3377,0,0,0,0.0000,50.3086,50.8883,3.58,8.59,171.81,-0.0620
0.820,0.3459,0.3240,0.3678,0,0,0,0.0000,50.8597,50.6608,4.20,7.98,171.68,-0.0620
0.862,0.3394,0.3359,0.3430,0,0,0,0.0000,51.3276,51.1826,4.91,8.08,171.84,-0.0628
0.865,0.3262,0.3189,0.3335,0,0,0,0.0000,51.3449,48.8778,6.30,6.69,172.23,-0.0646
0.902,0.3303,0.3162,0.3444,0,0,0,0.0000,49.5767,48.9373,7.36,6.18,172.55,-0.0647
0.929,0.3224,0.3131,0.3316,0,0,0,0.0000,50.1337,50.2392,7.54,5.54,172.64,-0.0653
0.966,0.3204,0.3112,0.3296,0,0,0,0.0000,50.7810,49.8047,7.76,4.93,172.38,-0.0652
0.999,0.3159,0.3105,0.3212,0,0,0,0.0000,52.1979,48.2407,8.04,4.44,172.16,-0.0653
1.009,0.3207,0.3106,0.3307,0,0,0,0.0000,50.3657,42.2146,7.27,6.60,171.55,-0.0653
1.035,0.3268,0.3159,0.3376,0,0,0,0.0000,51.1226,40.1291,7.96,6.29,171.60,-0.0649
1.056,0.3346,0.3173,0.3518,0,0,0,0.0000,51.9766,40.4404,7.21,6.68,171.23,-0.0645
