timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.048,0.3187,0.2572,0.3803,0,0,0,0.0000,41.3163,37.3701,10.22,35.14,173.11,-0.0412
0.070,0.3061,0.2681,0.3441,0,0,0,0.0000,36.6745,31.3987,11.06,29.69,173.95,-0.0425
0.089,0.3251,0.2833,0.3669,0,0,0,0.0000,34.6689,31.7333,10.73,29.76,174.12,-0.0429
0.107,0.3191,0.2794,0.3587,0,0,0,0.0000,34.3099,30.3733,10.75,29.12,173.69,-0.0428
0.117,0.3100,0.2869,0.3330,0,0,0,0.0000,34.2376,32.6705,10.62,28.08,173.59,-0.0429
0.141,0.3118,0.2799,0.3437,0,0,0,0.0000,35.9521,32.0936,10.09,28.73,173.43,-0.0426
0.156,0.3150,0.2811,0.3488,0,0,0,0.0000,35.6642,32.8031,10.35,27.93,173.47,-0.0428
0.178,0.3041,0.2787,0.3295,0,0,0,0.0000,36.6177,32.9029,9.93,28.06,173.17,-0.0430
0.198,0.3068,0.2680,0.3456,0,0,0,0.0000,36.9768,32.6246,9.84,28.14,173.27,-0.0429
0.212,0.3002,0.2756,0.3247,0,0,0,0.0000,35.8128,32.6538,9.45,27.77,173.23,-0.0431
0.228,0.2949,0.2660,0.3239,0,0,0,0.0000,35.9169,32.8121,10.33,27.05,173.38,-0.0434
0.246,0.2997,0.2660,0.3334,0,0,0,0.0000,35.9065,33.3898,10.69,26.60,173.66,-0.0433
0.264,0.2993,0.2681,0.3304,0,0,0,0.0000,35.2470,32.8558,11.19,26.29,174.16,-0.0433
0.276,0.3069,0.2710,0.3428,0,0,0,0.0000,35.6378,32.8789,10.79,26.59,174.23,-0.0432
0.302,0.3093,0.2693,0.3493,0,0,0,0.0000,35.3146,32.8295,11.15,25.98,174.47,-0.0435
0.315,0.3038,0.2699,0.3377,0,0,0,0.0000,35.9338,33.1803,11.49,25.69,174.72,-0.0435
0.325,0.3063,0.2701,0.3425,0,0,0,0.0000,36.3428,33.2222,11.79,25.52,174.95,-0.0433
0.356,0.3091,0.2737,0.3445,0,0,0,0.0000,36.3576,33.5465,11.78,25.80,174.94,-0.0431
0.371,0.3055,0.2688,0.3422,0,0,0,0.0000,36.4070,33.0836,12.13,25.28,175.16,-0.0435
0.387,0.3023,0.2675,0.3372,0,0,0,0.0000,36.6491,34.5206,12.35,24.97,175.19,-0.0436
0.404,0.3009,0.2657,0.3360,0,0,0,0.0000,35.1882,33.0660,12.06,25.13,175.38,-0.0438
0.422,0.3055,0.2707,0.3403,0,0,0,0.0000,37.2125,34.6011,12.23,24.61,175.44,-0.0439
0.442,0.3094,0.2717,0.3472,0,0,0,0.0000,35.0727,33.5585,12.53,24.73,175.75,-0.0439
0.455,0.3071,0.2680,0.3463,0,0,0,0.0000,36.7478,34.3901,12.44,24.47,175.47,-0.0441
0.479,0.3063,0.2706,0.3421,0,0,0,0.0000,35.1513,33.3884,12.54,24.52,175.95,-0.0438
0.498,0.3093,0.2694,0.3491,0,0,0,0.0000,36.4019,33.4752,12.63,24.02,175.85,-0.0440
0.515,0.3037,0.2671,0.3403,0,0,0,0.0000,34.9377,33.5142,12.61,24.06,175.96,-0.0438
0.528,0.2929,0.2520,0.3339,0,0,0,0.0000,36.3760,34.4718,13.13,22.96,175.98,-0.0441
0.548,0.2656,0.2303,0.3008,0,0,0,0.0000,34.5533,35.5357,12.82,22.33,176.11,-0.0444
0.569,0.2805,0.2309,0.3300,0,0,0,0.0000,34.0938,33.6708,13.03,22.16,176.10,-0.0442
0.589,0.2823,0.2366,0.3280,0,0,0,0.0000,35.1646,32.6758,12.75,22.33,176.27,-0.0440
0.607,0.2816,0.2438,0.3193,0,0,0,0.0000,36.9515,32.9138,13.01,22.38,176.38,-0.0438
0.618,0.2827,0.2363,0.3290,0,0,0,0.0000,34.4511,32.1438,13.18,22.26,176.35,-0.0440
0.642,0.2851,0.2422,0.3281,0,0,0,0.0000,34.6462,32.9034,13.65,22.61,176.45,-0.0439
0.660,0.2819,0.2406,0.3233,0,0,0,0.0000,35.4556,32.5308,14.06,22.33,176.53,-0.0437
0.679,0.2751,0.2362,0.3140,0,0,0,0.0000,33.6955,32.4971,15.20,21.88,176.93,-0.0438
0.701,0.2781,0.2415,0.3148,0,0,0,0.0000,35.1453,32.5232,14.72,22.17,176.71,-0.0435
0.718,0.2742,0.2373,0.3110,0,0,0,0.0000,34.1484,33.0504,15.70,22.03,176.93,-0.0439
0.729,0.2773,0.2365,0.3181,0,0,0,0.0000,34.7389,32.1719,15.01,22.18,176.85,-0.0434
0.754,0.2694,0.2372,0.3016,0,0,0,0.0000,34.9876,32.9404,15.49,22.19,177.07,-0.0434
0.768,0.2717,0.2383,0.3050,0,0,0,0.0000,35.2653,33.4776,15.61,21.99,176.93,-0.0436
0.789,0.2697,0.2309,0.3086,0,0,0,0.0000,33.6039,33.2336,15.81,21.75,176.97,-0.0435
0.799,0.2798,0.2335,0.3262,0,0,0,0.0000,32.9892,32.4081,14.80,22.16,177.04,-0.0431
0.820,0.2705,0.2404,0.3007,0,0,0,0.0000,34.8435,33.2078,15.76,21.29,177.03,-0.0439
0.842,0.2778,0.2266,0.3290,0,0,0,0.0000,33.1818,31.6168,14.49,22.07,176.92,-0.0429
0.858,0.2708,0.2408,0.3009,0,0,0,0.0000,34.6770,31.5967,15.92,21.39,177.22,-0.0435
0.879,0.2636,0.2359,0.2913,0,0,0,0.0000,33.8493,33.4457,15.77,21.26,177.11,-0.0432
0.889,0.2756,0.2410,0.3102,0,0,0,0.0000,34.7173,32.2800,15.94,21.22,177.17,-0.0433
0.912,0.2713,0.2387,0.3039,0,0,0,0.0000,34.2065,32.5768,16.09,21.19,177.13,-0.0436
0.928,0.2686,0.2413,0.2960,0,0,0,0.0000,34.6303,33.1771,16.52,20.82,177.16,-0.0434
0.948,0.2764,0.2390,0.3137,0,0,0,0.0000,34.6372,32.4021,16.30,21.22,177.24,-0.0435
0.968,0.2615,0.2419,0.2810,0,0,0,0.0000,34.7824,32.2626,16.50,20.86,177.24,-0.0431
0.989,0.2801,0.2370,0.3231,0,0,0,0.0000,35.0567,31.0760,16.18,21.20,177.26,-0.0434
1.008,0.2733,0.2431,0.3036,0,0,0,0.0000,35.3468,31.7012,16.33,21.18,177.01,-0.0432
1.018,0.2739,0.2411,0.3067,0,0,0,0.0000,34.4468,31.4382,16.57,20.80,177.26,-0.0431
1.042,0.2790,0.2398,0.3181,0,0,0,0.0000,34.7989,31.2747,16.89,20.55,177.35,-0.0431
1.058,0.2790,0.2402,0.3177,0,0,0,0.0000,34.8980,31.1366,16.67,21.05,177.26,-0.0429
1.078,0.2753,0.2438,0.3068,0,0,0,0.0000,35.0293,31.1524,16.88,20.97,177.33,-0.0430
1.097,0.2835,0.2397,0.3273,0,0,0,0.0000,34.5946,31.4175,17.09,21.03,177.25,-0.0430
1.116,0.2814,0.2381,0.3247,0,0,0,0.0000,34.7384,31.4017,17.22,21.15,177.48,-0.0430
1.134,0.2808,0.2405,0.3212,0,0,0,0.0000,34.9521,30.8989,17.12,21.33,177.32,-0.0429
1.155,0.2808,0.2354,0.3261,0,0,0,0.0000,34.2134,31.3686,16.94,21.74,177.39,-0.0429
1.174,0.2692,0.2413,0.2972,0,0,0,0.0000,34.6208,31.0806,17.21,21.42,177.32,-0.0430
1.191,0.2739,0.2366,0.3111,0,0,0,0.0000,35.3403,30.8272,17.42,21.36,177.38,-0.0428
1.215,0.2746,0.2351,0.3141,0,0,0,0.0000,34.6285,31.6064,16.93,21.63,177.40,-0.0429
1.233,0.2532,0.2337,0.2727,0,0,0,0.0000,35.2741,31.6888,17.64,21.54,177.63,-0.0428
1.256,0.2740,0.2441,0.3039,0,0,0,0.0000,35.5211,31.9018,16.92,21.54,177.36,-0.0434
1.276,0.2574,0.2470,0.2678,0,0,0,0.0000,36.7437,30.6726,15.90,21.85,177.29,-0.0428
1.289,0.2609,0.2476,0.2741,0,0,0,0.0000,37.7178,30.9424,15.87,21.74,177.22,-0.0424
1.309,0.2630,0.2411,0.2848,0,0,0,0.0000,36.4002,30.9332,16.41,21.64,177.46,-0.0426
1.328,0.2644,0.2397,0.2892,0,0,0,0.0000,36.5609,30.8073,15.92,22.37,177.70,-0.0427
1.348,0.2635,0.2428,0.2843,0,0,0,0.0000,37.8760,30.3335,14.68,23.26,177.14,-0.0425
1.368,0.2432,0.2399,0.2464,0,0,0,0.0000,36.3971,30.5706,16.19,22.19,177.90,-0.0427
1.386,0.2724,0.2412,0.3036,0,0,0,0.0000,36.8745,31.2770,14.81,22.32,177.82,-0.0434
1.403,0.2592,0.2390,0.2794,0,0,0,0.0000,37.8252,30.6138,14.55,22.46,177.57,-0.0433
1.422,0.2651,0.2401,0.2902,0,0,0,0.0000,35.0399,31.8701,14.72,22.23,177.58,-0.0437
1.438,0.2524,0.2363,0.2685,0,0,0,0.0000,35.5339,32.5637,15.63,21.95,177.87,-0.0437
1.457,0.2719,0.2436,0.3003,0,0,0,0.0000,36.9209,32.0780,15.12,22.44,177.80,-0.0436
1.473,0.2742,0.2434,0.3051,0,0,0,0.0000,36.1067,32.6222,15.45,22.14,177.94,-0.0438
1.497,0.2651,0.2419,0.2882,0,0,0,0.0000,34.8959,32.4342,15.22,22.26,177.87,-0.0438
1.515,0.2608,0.2454,0.2761,0,0,0,0.0000,35.2634,32.3923,14.95,22.11,177.68,-0.0435
1.528,0.2581,0.2449,0.2714,0,0,0,0.0000,35.7760,33.5158,16.17,21.43,178.07,-0.0439
1.549,0.2642,0.2431,0.2854,0,0,0,0.0000,35.3836,33.8145,16.58,21.11,178.10,-0.0439
1.568,0.2635,0.2410,0.2860,0,0,0,0.0000,36.5925,33.2857,15.78,21.59,177.92,-0.0439
1.587,0.2613,0.2489,0.2737,0,0,0,0.0000,35.4920,32.9919,15.70,21.98,178.00,-0.0441
1.598,0.2608,0.2353,0.2863,0,0,0,0.0000,36.3259,33.4722,15.24,21.75,177.92,-0.0444
1.622,0.2609,0.2319,0.2899,0,0,0,0.0000,36.5983,33.7646,15.08,22.14,177.70,-0.0443
1.639,0.2674,0.2338,0.3010,0,0,0,0.0000,36.1176,33.7292,15.02,22.25,177.69,-0.0444
1.659,0.2679,0.2376,0.2982,0,0,0,0.0000,36.2038,33.9563,15.34,22.05,177.65,-0.0447
1.678,0.2692,0.2391,0.2993,0,0,0,0.0000,36.2383,32.7981,15.03,22.64,177.63,-0.0443
1.699,0.2630,0.2427,0.2833,0,0,0,0.0000,35.8842,33.2844,14.80,21.84,177.81,-0.0450
1.717,0.2576,0.2362,0.2790,0,0,0,0.0000,35.7453,31.5478,14.80,22.42,177.62,-0.0446
1.735,0.2626,0.2420,0.2831,0,0,0,0.0000,36.1021,31.0994,14.52,22.40,177.73,-0.0447
1.751,0.2631,0.2400,0.2861,0,0,0,0.0000,36.2488,33.7266,14.84,22.28,177.71,-0.0450
1.770,0.2576,0.2387,0.2764,0,0,0,0.0000,36.9929,32.7197,14.48,22.78,177.60,-0.0444
1.788,0.2611,0.2412,0.2811,0,0,0,0.0000,36.8677,32.6882,14.97,22.70,177.91,-0.0439
1.801,0.2578,0.2445,0.2711,0,0,0,0.0000,36.7235,31.5593,15.02,22.53,178.04,-0.0443
1.820,0.2566,0.2354,0.2778,0,0,0,0.0000,37.2226,31.5070,14.76,22.37,178.15,-0.0442
1.838,0.2615,0.2376,0.2854,0,0,0,0.0000,37.0963,31.7971,15.23,22.08,178.28,-0.0443
1.859,0.2673,0.2425,0.2921,0,0,0,0.0000,36.6274,32.1382,14.77,22.26,178.01,-0.0443
1.877,0.2630,0.2389,0.2870,0,0,0,0.0000,37.0237,32.1600,14.70,22.32,178.11,-0.0442
1.893,0.2629,0.2387,0.2870,0,0,0,0.0000,36.9254,32.1929,14.93,22.35,178.12,-0.0443
1.914,0.2620,0.2377,0.2862,0,0,0,0.0000,36.9062,32.9664,15.05,22.18,178.08,-0.0442
1.932,0.2645,0.2393,0.2897,0,0,0,0.0000,35.7998,34.3220,14.94,22.61,177.87,-0.0441
1.950,0.2685,0.2314,0.3055,0,0,0,0.0000,35.8579,32.3282,14.52,23.15,177.82,-0.0442
1.967,0.2617,0.2106,0.3129,0,0,0,0.0000,36.0910,31.0416,15.51,22.62,177.60,-0.0448
1.985,0.2567,0.2045,0.3088,0,0,0,0.0000,34.9843,30.2296,15.02,22.11,177.71,-0.0452
2.002,0.2736,0.2369,0.3103,0,0,0,0.0000,36.6574,30.5024,15.34,21.38,177.73,-0.0457
2.018,0.2858,0.2509,0.3207,0,0,0,0.0000,36.5958,30.5024,14.83,21.16,177.66,-0.0454
2.036,0.3039,0.2769,0.3309,0,0,0,0.0000,35.3054,31.2267,13.84,21.94,177.75,-0.0449
2.054,0.3072,0.2789,0.3355,0,0,0,0.0000,35.8449,31.0382,13.13,22.69,177.42,-0.0449
2.070,0.3160,0.2853,0.3467,0,0,0,0.0000,36.1928,31.0927,13.17,22.13,177.59,-0.0449
2.088,0.3205,0.2940,0.3471,0,0,0,0.0000,35.5680,31.0329,13.49,22.47,178.04,-0.0448
2.106,0.3185,0.2954,0.3417,0,0,0,0.0000,35.4307,30.6832,13.03,22.60,177.97,-0.0455
2.123,0.3199,0.2928,0.3470,0,0,0,0.0000,34.7197,31.4039,13.29,22.11,178.15,-0.0457
2.140,0.3226,0.2955,0.3498,0,0,0,0.0000,34.7383,31.3791,13.09,22.10,178.21,-0.0461
2.157,0.3252,0.2970,0.3534,0,0,0,0.0000,34.1575,31.3669,12.12,22.22,178.17,-0.0459
2.174,0.3370,0.3105,0.3635,0,0,0,0.0000,35.4536,31.2650,12.14,23.24,178.31,-0.0454
2.191,0.3356,0.3046,0.3666,0,0,0,0.0000,37.4715,32.1285,12.10,23.10,178.13,-0.0454
2.208,0.3347,0.3004,0.3691,0,0,0,0.0000,37.9626,31.6302,11.96,22.95,177.94,-0.0450
2.226,0.3340,0.3055,0.3626,0,0,0,0.0000,37.6417,31.2391,12.00,23.24,178.12,-0.0445
2.242,0.3331,0.3031,0.3632,0,0,0,0.0000,37.4023,31.5549,12.15,22.58,178.29,-0.0442
2.260,0.3370,0.3054,0.3686,0,0,0,0.0000,37.5333,30.1428,12.05,23.45,178.45,-0.0437
2.277,0.3224,0.2900,0.3548,0,0,0,0.0000,37.3398,29.3666,12.46,23.25,178.63,-0.0431
2.294,0.3295,0.2966,0.3624,0,0,0,0.0000,37.5612,29.6126,12.84,22.93,178.64,-0.0433
2.312,0.3360,0.3025,0.3696,0,0,0,0.0000,38.2406,30.1995,13.57,22.79,178.71,-0.0433
2.329,0.3306,0.3010,0.3602,0,0,0,0.0000,37.6854,29.9917,14.04,22.53,178.59,-0.0436
2.347,0.3249,0.3010,0.3488,0,0,0,0.0000,38.1780,29.8593,13.87,22.28,178.58,-0.0435
2.364,0.3297,0.3040,0.3554,0,0,0,0.0000,37.5133,29.7047,14.34,22.35,178.58,-0.0436
2.381,0.3303,0.3101,0.3504,0,0,0,0.0000,36.9774,29.4375,13.63,22.43,178.43,-0.0435
2.398,0.3298,0.3028,0.3568,0,0,0,0.0000,37.5551,29.4856,14.01,22.16,178.47,-0.0434
2.417,0.3258,0.2988,0.3527,0,0,0,0.0000,37.8723,29.4752,14.34,21.81,178.60,-0.0436
2.434,0.3290,0.3061,0.3518,0,0,0,0.0000,37.1442,29.2702,14.23,22.05,178.40,-0.0432
2.453,0.3206,0.2929,0.3483,0,0,0,0.0000,36.9054,29.4098,14.77,21.41,178.57,-0.0439
2.471,0.3171,0.3017,0.3324,0,0,0,0.0000,37.3399,29.9407,14.26,21.61,178.34,-0.0435
2.490,0.3210,0.2932,0.3489,0,0,0,0.0000,35.5755,29.3260,14.56,21.25,178.78,-0.0437
2.507,0.3247,0.3037,0.3457,0,0,0,0.0000,37.4995,29.4005,14.41,21.57,178.24,-0.0435
2.524,0.3215,0.2962,0.3468,0,0,0,0.0000,36.9284,29.6375,15.08,21.04,178.64,-0.0436
2.541,0.3259,0.2970,0.3549,0,0,0,0.0000,36.4018,28.9224,14.83,21.05,178.38,-0.0435
2.558,0.3209,0.3019,0.3400,0,0,0,0.0000,36.9095,29.8963,13.91,21.70,178.25,-0.0432
2.576,0.3260,0.3068,0.3452,0,0,0,0.0000,36.8594,29.5522,13.62,22.24,178.11,-0.0436
2.595,0.3327,0.3132,0.3522,0,0,0,0.0000,36.8908,30.4487,13.76,22.78,177.89,-0.0439
2.613,0.3292,0.2939,0.3644,0,0,0,0.0000,36.2733,31.2411,13.43,23.93,177.24,-0.0449
2.631,0.3199,0.2930,0.3467,0,0,0,0.0000,37.2316,30.7452,11.95,24.84,177.17,-0.0452
2.649,0.3305,0.2960,0.3651,0,0,0,0.0000,38.1910,30.6294,12.19,42.58,-3.21,-0.0452
2.667,0.3287,0.2974,0.3600,0,0,0,0.0000,36.7633,31.2581,11.43,42.83,-3.47,-0.0451
2.686,0.3227,0.2953,0.3501,0,0,0,0.0000,34.8659,34.4360,10.97,43.18,-3.40,-0.0451
2.704,0.3316,0.2957,0.3676,0,0,0,0.0000,35.5353,34.3559,10.54,42.97,-3.17,-0.0450
2.720,0.3301,0.2907,0.3694,0,0,0,0.0000,35.3863,33.2817,8.54,26.32,176.70,-0.0448
2.738,0.3287,0.2915,0.3659,0,0,0,0.0000,35.0762,33.7665,10.28,42.92,-3.09,-0.0446
2.756,0.3284,0.2925,0.3643,0,0,0,0.0000,35.4609,33.0607,8.65,25.50,176.82,-0.0444
2.773,0.3282,0.2962,0.3602,0,0,0,0.0000,36.0787,33.3391,8.30,25.63,176.85,-0.0441
2.790,0.3263,0.2919,0.3608,0,0,0,0.0000,37.0711,32.8364,7.76,25.56,177.22,-0.0444
2.808,0.3289,0.2911,0.3666,0,0,0,0.0000,38.0890,33.8493,8.28,25.52,177.43,-0.0446
2.826,0.3302,0.2918,0.3687,0,0,0,0.0000,37.6528,34.6564,8.16,25.59,177.56,-0.0447
2.844,0.3252,0.2860,0.3644,0,0,0,0.0000,36.3431,33.3351,8.01,25.70,177.63,-0.0450
2.861,0.3270,0.2819,0.3721,0,0,0,0.0000,37.0936,33.2854,7.02,25.97,177.41,-0.0451
2.877,0.3135,0.2639,0.3632,0,0,0,0.0000,36.4553,32.8188,7.08,26.46,177.31,-0.0452
2.895,0.2905,0.2329,0.3481,0,0,0,0.0000,35.7533,33.0527,7.11,26.28,177.13,-0.0449
2.912,0.2742,0.2097,0.3387,0,0,0,0.0000,36.5050,34.0375,6.75,26.22,177.11,-0.0448
2.930,0.2593,0.2020,0.3166,0,0,0,0.0000,37.1401,33.7129,6.73,26.47,176.63,-0.0449
2.947,0.2639,0.2021,0.3256,0,0,0,0.0000,37.5680,33.2996,6.76,26.21,176.80,-0.0447
2.964,0.2816,0.2247,0.3385,0,0,0,0.0000,36.3029,34.1595,6.23,26.08,177.01,-0.0449
2.981,0.2912,0.2341,0.3482,0,0,0,0.0000,36.0982,34.3432,5.62,26.58,177.09,-0.0443
2.998,0.2978,0.2382,0.3573,0,0,0,0.0000,36.3499,34.5600,5.61,26.26,177.16,-0.0445
3.015,0.3065,0.2523,0.3607,0,0,0,0.0000,36.7699,33.4389,5.29,26.21,177.22,-0.0444
3.032,0.3129,0.2584,0.3674,0,0,0,0.0000,36.7706,34.0663,4.82,26.24,177.35,-0.0447
3.050,0.3125,0.2643,0.3608,0,0,0,0.0000,36.9449,34.4097,4.08,26.01,177.37,-0.0449
3.067,0.3138,0.2662,0.3613,0,0,0,0.0000,36.9812,34.0368,3.72,26.57,177.23,-0.0443
3.084,0.3105,0.2634,0.3577,0,0,0,0.0000,37.3188,33.7621,3.20,26.68,176.93,-0.0442
3.101,0.3151,0.2716,0.3587,0,0,0,0.0000,37.5957,34.0282,3.03,26.97,176.80,-0.0440
3.118,0.3186,0.2748,0.3623,0,0,0,0.0000,37.5822,33.9578,3.46,27.15,176.88,-0.0437
3.135,0.3094,0.2610,0.3578,0,0,0,0.0000,37.9509,32.6671,3.12,27.32,176.69,-0.0442
3.152,0.3105,0.2633,0.3577,0,0,0,0.0000,38.0786,33.7005,3.32,26.85,176.73,-0.0442
3.170,0.3076,0.2633,0.3519,0,0,0,0.0000,38.2421,33.4212,4.49,26.42,177.04,-0.0449
3.187,0.3132,0.2711,0.3553,0,0,0,0.0000,37.3836,33.2881,4.11,26.12,177.15,-0.0447
3.204,0.3084,0.2661,0.3508,0,0,0,0.0000,37.8187,32.9389,4.09,26.64,176.83,-0.0448
3.221,0.3116,0.2717,0.3515,0,0,0,0.0000,37.4747,33.1089,4.25,26.18,176.95,-0.0447
3.238,0.3082,0.2684,0.3480,0,0,0,0.0000,37.4082,33.0995,3.89,26.21,176.78,-0.0449
3.255,0.3093,0.2735,0.3452,0,0,0,0.0000,37.6983,34.0035,4.42,26.22,176.53,-0.0444
3.273,0.3073,0.2666,0.3479,0,0,0,0.0000,37.7024,33.6913,4.59,26.24,176.56,-0.0442
3.290,0.3097,0.2713,0.3480,0,0,0,0.0000,38.3620,33.7089,4.69,26.25,176.51,-0.0439
3.308,0.3077,0.2706,0.3448,0,0,0,0.0000,38.3552,33.2218,4.65,26.17,176.61,-0.0439
3.324,0.3109,0.2702,0.3515,0,0,0,0.0000,38.4483,32.6438,4.65,26.40,176.64,-0.0437
3.341,0.3110,0.2719,0.3501,0,0,0,0.0000,38.4795,32.5803,4.36,26.45,176.59,-0.0437
3.359,0.3174,0.2784,0.3563,0,0,0,0.0000,38.1121,31.9183,4.56,26.58,176.45,-0.0437
3.376,0.3065,0.2728,0.3402,0,0,0,0.0000,37.0290,31.6852,5.58,26.21,176.47,-0.0440
3.394,0.3062,0.2686,0.3438,0,0,0,0.0000,37.2496,31.4922,5.96,26.29,176.70,-0.0441
3.411,0.3167,0.2817,0.3517,0,0,0,0.0000,35.2642,31.7242,5.51,26.87,176.44,-0.0439
3.429,0.3131,0.2751,0.3511,0,0,0,0.0000,36.2513,31.6686,5.07,27.12,176.31,-0.0439
3.446,0.3154,0.2775,0.3532,0,0,0,0.0000,36.1503,31.7238,5.25,26.89,176.17,-0.0444
3.464,0.3161,0.2735,0.3587,0,0,0,0.0000,36.1701,32.0405,5.94,26.49,176.26,-0.0442
3.485,0.3144,0.2705,0.3583,0,0,0,0.0000,35.9041,31.9059,7.50,25.44,176.60,-0.0458
3.502,0.3194,0.2671,0.3718,0,0,0,0.0000,35.1424,31.0236,6.89,26.79,176.27,-0.0462
3.520,0.3188,0.2606,0.3770,0,0,0,0.0000,37.0108,30.9605,7.08,26.80,175.96,-0.0457
3.537,0.3196,0.2523,0.3870,0,0,0,0.0000,34.8769,30.7830,6.47,26.05,175.64,-0.0463
3.554,0.3020,0.2403,0.3637,0,0,0,0.0000,34.7789,32.5758,5.52,26.02,175.58,-0.0467
3.573,0.2880,0.2230,0.3530,0,0,0,0.0000,35.1707,33.9199,5.12,26.84,175.44,-0.0460
3.590,0.2934,0.2215,0.3652,0,0,0,0.0000,35.0929,32.8051,4.80,27.12,175.27,-0.0451
3.607,0.3101,0.2394,0.3808,0,0,0,0.0000,35.2623,34.0069,4.96,28.03,175.57,-0.0444
3.625,0.3171,0.2411,0.3931,0,0,0,0.0000,35.1097,34.0488,5.06,28.22,175.36,-0.0443
3.643,0.3171,0.2465,0.3876,0,0,0,0.0000,36.2344,33.8672,4.69,28.40,174.80,-0.0439
3.661,0.2940,0.2354,0.3527,0,0,0,0.0000,36.6982,33.8689,5.97,28.56,174.51,-0.0443
3.678,0.2976,0.2498,0.3455,0,0,0,0.0000,36.9260,32.7277,6.60,28.56,174.78,-0.0449
3.695,0.3061,0.2634,0.3487,0,0,0,0.0000,36.0017,33.8885,6.33,28.10,175.04,-0.0452
3.713,0.3062,0.2498,0.3626,0,0,0,0.0000,35.9670,32.7076,5.81,28.34,174.91,-0.0447
3.730,0.3084,0.2547,0.3621,0,0,0,0.0000,35.3389,34.1850,6.06,27.99,174.34,-0.0440
3.748,0.2960,0.2490,0.3430,0,0,0,0.0000,35.9418,33.5237,6.83,27.85,174.30,-0.0445
3.765,0.2945,0.2533,0.3356,0,0,0,0.0000,35.3841,33.0865,8.25,27.18,174.59,-0.0449
3.783,0.3019,0.2571,0.3468,0,0,0,0.0000,36.9649,32.3350,8.27,27.48,174.59,-0.0445
3.801,0.2998,0.2595,0.3401,0,0,0,0.0000,37.6132,32.9174,8.10,27.01,174.15,-0.0445
3.817,0.3047,0.2629,0.3466,0,0,0,0.0000,37.7366,33.2537,7.31,26.95,173.90,-0.0436
3.834,0.3158,0.2677,0.3638,0,0,0,0.0000,35.5291,33.8729,7.30,27.79,173.76,-0.0436
3.852,0.3159,0.2586,0.3733,0,0,0,0.0000,34.8860,33.0677,8.34,27.99,173.97,-0.0436
3.869,0.3261,0.2563,0.3959,0,0,0,0.0000,34.5722,32.2584,7.67,28.01,174.00,-0.0441
3.887,0.3137,0.2541,0.3732,0,0,0,0.0000,34.1811,32.7041,7.29,27.76,173.43,-0.0443
3.904,0.3247,0.2577,0.3916,0,0,0,0.0000,34.2365,32.8713,8.31,27.99,173.55,-0.0442
3.921,0.3150,0.2562,0.3738,0,0,0,0.0000,34.8576,32.4039,9.07,27.61,173.35,-0.0442
3.939,0.3092,0.2601,0.3583,0,0,0,0.0000,34.8485,32.9977,9.48,27.33,173.56,-0.0447
3.956,0.3075,0.2595,0.3555,0,0,0,0.0000,35.5796,34.1750,9.67,27.26,173.29,-0.0447
3.974,0.3148,0.2670,0.3627,0,0,0,0.0000,34.7917,33.3531,8.76,27.38,172.92,-0.0446
3.991,0.3086,0.2660,0.3512,0,0,0,0.0000,35.7486,34.1694,8.25,27.19,172.01,-0.0450
4.009,0.3017,0.2685,0.3349,0,0,0,0.0000,35.9306,33.2878,7.04,26.99,171.52,-0.0445
4.027,0.3090,0.2689,0.3491,0,0,0,0.0000,35.1372,33.5028,6.98,27.11,170.93,-0.0445
4.045,0.3061,0.2603,0.3518,0,0,0,0.0000,36.5310,34.0674,7.05,27.53,170.75,-0.0445
4.063,0.3024,0.2589,0.3458,0,0,0,0.0000,37.5153,34.4015,6.90,27.96,170.66,-0.0446
4.080,0.3161,0.2593,0.3728,0,0,0,0.0000,38.0679,32.9402,6.76,28.72,170.59,-0.0439
4.097,0.3108,0.2565,0.3651,0,0,0,0.0000,37.4592,32.9646,6.67,28.53,170.73,-0.0438
4.114,0.3146,0.2637,0.3654,0,0,0,0.0000,36.8544,33.1590,6.62,28.41,170.69,-0.0436
4.132,0.3237,0.2742,0.3733,0,0,0,0.0000,36.0200,32.1065,5.69,28.76,170.59,-0.0429
4.151,0.3128,0.2709,0.3546,0,0,0,0.0000,36.3048,33.0248,4.80,28.21,170.48,-0.0432
4.168,0.3253,0.2660,0.3846,0,0,0,0.0000,37.0863,33.0350,3.86,28.72,170.58,-0.0426
4.185,0.3156,0.2570,0.3741,0,0,0,0.0000,35.8438,31.7631,4.15,28.73,170.99,-0.0429
4.203,0.3163,0.2659,0.3667,0,0,0,0.0000,35.9159,32.7932,6.01,43.39,-8.87,-0.0433
4.220,0.3231,0.2658,0.3805,0,0,0,0.0000,35.5263,31.1833,5.34,28.09,171.82,-0.0432
4.238,0.3204,0.2602,0.3805,0,0,0,0.0000,35.3783,31.0014,5.63,27.86,172.15,-0.0433
4.255,0.3176,0.2628,0.3723,0,0,0,0.0000,35.8718,30.6820,7.09,43.29,-7.67,-0.0430
4.273,0.3130,0.2647,0.3614,0,0,0,0.0000,34.9201,31.1216,5.08,28.02,172.13,-0.0432
4.291,0.3184,0.2651,0.3717,0,0,0,0.0000,35.3894,30.7712,5.22,27.68,172.56,-0.0431
