timestamp_sec,avg_ear,left_ear,right_ear,is_blinking_frame,closed_frame_counter,blink_count_total,blink_rate_bps,left_pupil_diameter,right_pupil_diameter,head_pitch,head_yaw,head_roll,nose_z
0.057,0.3413,0.2666,0.4159,0,0,0,0.0000,35.3245,34.3147,5.08,43.40,177.84,-0.0433
0.089,0.1623,0.1858,0.1388,1,1,0,0.0000,40.9917,26.6814,14.41,40.32,-8.77,-0.0553
0.120,0.1828,0.1738,0.1919,1,2,0,0.0000,42.5058,35.2252,9.04,28.98,167.84,-0.0561
0.153,0.1521,0.1531,0.1511,1,3,0,0.0000,40.9334,32.9877,7.46,29.66,166.98,-0.0552
0.183,0.1529,0.1563,0.1495,1,4,0,0.0000,40.1304,34.5265,7.70,29.69,166.92,-0.0549
0.213,0.1583,0.1575,0.1591,1,5,0,0.0000,40.8381,33.7392,7.70,29.67,166.64,-0.0544
0.246,0.1573,0.1468,0.1678,1,6,0,0.0000,40.5712,34.1875,7.61,29.02,166.46,-0.0543
0.274,0.1482,0.1623,0.1341,1,7,0,0.0000,41.6797,33.8889,7.72,29.32,166.35,-0.0544
0.305,0.1594,0.1657,0.1531,1,8,0,0.0000,40.7900,33.8946,8.28,29.25,166.37,-0.0544
0.335,0.1525,0.1505,0.1545,1,9,0,0.0000,42.6121,33.9815,8.57,28.31,166.38,-0.0545
0.367,0.1521,0.1600,0.1443,1,10,0,0.0000,43.8508,36.1166,9.09,28.13,166.53,-0.0544
0.400,0.1504,0.1588,0.1420,1,11,0,0.0000,45.8265,37.1017,9.78,27.59,166.67,-0.0546
0.430,0.1574,0.1702,0.1446,1,12,0,0.0000,47.0954,37.9812,10.57,27.05,166.82,-0.0547
0.460,0.1580,0.1751,0.1410,1,13,0,0.0000,47.4680,37.6603,10.19,26.79,166.92,-0.0548
0.476,0.1595,0.1747,0.1442,1,14,0,0.0000,47.9550,38.0003,10.13,26.45,166.90,-0.0548
0.493,0.1658,0.1729,0.1588,1,15,0,0.0000,47.6993,38.1328,9.92,26.28,166.82,-0.0549
0.525,0.1595,0.1717,0.1473,1,16,0,0.0000,46.7789,37.3478,10.30,25.91,166.97,-0.0551
0.553,0.1275,0.1593,0.0956,1,17,0,0.0000,45.5682,37.0425,11.21,25.54,167.08,-0.0557
0.572,0.0519,0.0556,0.0482,1,18,0,0.0000,33.7715,33.0177,11.98,23.40,166.28,-0.0552
0.602,0.0482,0.0634,0.0329,1,19,0,0.0000,33.3968,35.5731,13.66,21.37,166.05,-0.0560
0.635,0.0827,0.1247,0.0408,1,20,0,0.0000,43.1652,33.0409,12.65,22.81,166.27,-0.0568
0.664,0.1506,0.1974,0.1038,1,21,0,0.0000,42.8137,38.7204,13.01,24.04,166.08,-0.0583
0.697,0.2391,0.2385,0.2396,0,0,1,0.0000,44.8478,40.8859,13.74,24.13,165.95,-0.0591
0.726,0.2635,0.2661,0.2609,0,0,1,0.0000,45.8214,38.9090,13.83,23.08,165.99,-0.0601
0.761,0.2757,0.2705,0.2809,0,0,1,0.0000,46.8208,39.9861,14.74,22.08,166.13,-0.0608
0.790,0.2898,0.2774,0.3022,0,0,1,0.0000,47.3680,39.8981,14.47,22.26,166.26,-0.0606
0.822,0.2915,0.2795,0.3035,0,0,1,0.0000,47.1282,40.4241,14.57,22.18,166.65,-0.0607
0.852,0.2927,0.2888,0.2967,0,0,1,0.0000,46.6364,39.4157,14.14,22.09,166.69,-0.0610
0.869,0.2985,0.2927,0.3043,0,0,1,0.0000,46.9883,42.0885,14.62,22.08,167.40,-0.0610
0.899,0.2946,0.2882,0.3010,0,0,1,0.0000,47.6547,41.7392,14.99,21.82,167.85,-0.0610
0.931,0.2993,0.3017,0.2970,0,0,1,0.0000,47.7462,41.7961,14.59,22.59,168.48,-0.0607
0.961,0.2889,0.2880,0.2898,0,0,1,0.0000,48.2936,40.5802,14.47,23.29,169.01,-0.0604
0.978,0.2834,0.2764,0.2905,0,0,1,0.0000,48.5836,41.6294,14.71,22.72,169.34,-0.0600
1.009,0.2931,0.2871,0.2992,0,0,1,0.9910,47.5826,42.3136,14.99,23.24,169.70,-0.0605
1.043,0.2873,0.2864,0.2882,0,0,1,0.9590,49.3904,40.9300,14.41,23.53,169.73,-0.0608
1.071,0.2900,0.2857,0.2942,0,0,1,0.9335,48.3775,40.9445,14.10,23.51,170.08,-0.0608
1.104,0.2897,0.2919,0.2875,0,0,1,0.9061,48.3392,40.8010,13.95,23.05,170.25,-0.0611
1.136,0.3037,0.2972,0.3101,0,0,1,0.8804,48.7419,42.0778,13.64,22.98,170.49,-0.0615
1.168,0.3012,0.2999,0.3025,0,0,1,0.8560,48.5591,42.7290,13.60,22.37,170.78,-0.0620
1.197,0.3124,0.3011,0.3238,0,0,1,0.8354,48.0868,42.1595,13.62,22.26,170.93,-0.0616
1.228,0.3016,0.2982,0.3050,0,0,1,0.8146,48.2743,42.0004,13.64,21.99,171.16,-0.0617
1.257,0.3021,0.3014,0.3027,0,0,1,0.7957,48.0123,41.4178,13.54,21.42,171.32,-0.0620
1.290,0.2970,0.3019,0.2920,0,0,1,0.7754,47.9356,41.2944,13.27,21.68,171.39,-0.0620
1.322,0.3026,0.2987,0.3066,0,0,1,0.7564,47.7661,42.8161,13.31,21.15,171.56,-0.0623
1.354,0.3091,0.3033,0.3148,0,0,1,0.7385,48.3667,43.5551,13.46,20.76,171.65,-0.0624
1.385,0.3066,0.3048,0.3084,0,0,1,0.7221,49.4781,42.7630,13.54,20.91,171.92,-0.0622
1.415,0.2995,0.2956,0.3034,0,0,1,0.7067,49.3004,42.1681,13.73,20.57,172.10,-0.0624
1.445,0.2982,0.2932,0.3031,0,0,1,0.6921,49.4171,42.3688,13.34,20.94,172.24,-0.0621
1.477,0.2952,0.2871,0.3032,0,0,1,0.6772,49.3433,42.3469,13.25,20.97,172.27,-0.0624
1.511,0.2908,0.2844,0.2971,0,0,1,0.6620,48.8483,42.0875,13.27,20.42,172.17,-0.0622
1.541,0.3022,0.2984,0.3060,0,0,1,0.6490,49.3378,43.4389,12.82,20.68,172.26,-0.0625
1.571,0.3005,0.2940,0.3069,0,0,1,0.6365,48.9757,43.5915,13.07,19.96,172.34,-0.0630
1.600,0.3014,0.2974,0.3054,0,0,1,0.6251,48.8485,43.0957,14.01,19.45,172.56,-0.0630
1.615,0.3023,0.2973,0.3072,0,0,1,0.6191,48.3716,42.7346,13.73,19.55,172.46,-0.0627
1.631,0.3022,0.3033,0.3012,0,0,1,0.6131,49.1329,42.7561,13.66,19.80,172.58,-0.0623
1.647,0.2997,0.3024,0.2969,0,0,1,0.6073,49.1872,43.4617,13.85,19.35,172.53,-0.0624
1.679,0.2932,0.2704,0.3161,0,0,1,0.5957,48.9892,41.3180,13.41,19.23,172.46,-0.0626
1.710,0.2740,0.2609,0.2870,0,0,1,0.5848,49.3643,41.0183,13.59,18.73,172.56,-0.0623
1.740,0.2688,0.2563,0.2813,0,0,1,0.5746,49.2578,40.1798,13.58,18.53,172.63,-0.0624
1.771,0.2743,0.2594,0.2892,0,0,1,0.5646,50.0022,40.0166,14.51,18.04,172.91,-0.0622
1.802,0.2825,0.2601,0.3050,0,0,1,0.5550,48.7283,38.7717,14.26,18.50,172.80,-0.0617
1.834,0.2792,0.2587,0.2996,0,0,1,0.5453,49.1872,37.7532,14.78,17.86,172.99,-0.0620
1.864,0.2808,0.2546,0.3069,0,0,1,0.5364,49.2239,38.1584,14.68,18.04,173.02,-0.0619
1.880,0.2799,0.2609,0.2990,0,0,1,0.5320,48.2719,36.6611,15.03,17.91,172.88,-0.0622
1.911,0.2732,0.2622,0.2841,0,0,1,0.5232,48.4989,34.7487,15.49,17.91,172.88,-0.0619
1.929,0.2862,0.2740,0.2984,0,0,1,0.5183,48.1151,32.3364,15.18,17.96,172.65,-0.0616
1.959,0.2863,0.2815,0.2911,0,0,1,0.5105,48.8603,31.2653,15.85,17.87,172.95,-0.0618
1.991,0.2910,0.2798,0.3021,0,0,1,0.5022,47.6433,31.9049,15.68,17.50,172.55,-0.0619
2.023,0.2840,0.2820,0.2861,0,0,1,0.4944,49.1762,31.1771,15.09,18.42,172.84,-0.0615
2.055,0.2831,0.2739,0.2922,0,0,1,0.4867,47.7278,29.5744,15.17,18.04,172.61,-0.0613
2.086,0.2905,0.2789,0.3020,0,0,1,0.4794,47.3920,29.5035,14.52,18.42,172.47,-0.0612
2.117,0.2936,0.2820,0.3051,0,0,1,0.4724,47.8531,30.3128,14.86,18.58,172.40,-0.0611
2.148,0.2931,0.2861,0.3000,0,0,1,0.4656,48.3416,30.4814,14.50,18.72,172.31,-0.0610
2.178,0.2927,0.2842,0.3012,0,0,1,0.4591,48.5572,29.8488,14.62,18.79,172.38,-0.0609
2.209,0.2929,0.2764,0.3094,0,0,1,0.4528,47.8000,30.0191,13.76,19.23,172.12,-0.0608
2.240,0.2985,0.2858,0.3112,0,0,1,0.4463,48.6989,29.1781,14.31,19.23,172.31,-0.0609
2.272,0.2888,0.2770,0.3006,0,0,1,0.4402,48.2554,28.9067,12.99,19.92,171.94,-0.0607
2.302,0.2877,0.2808,0.2946,0,0,1,0.4344,49.8007,26.2970,13.30,20.08,172.30,-0.0608
2.318,0.2920,0.2852,0.2988,0,0,1,0.4314,48.2348,28.9485,12.33,20.17,171.85,-0.0606
2.348,0.2940,0.2777,0.3103,0,0,1,0.4259,50.6411,28.1729,13.94,19.28,172.27,-0.0610
2.364,0.2890,0.2840,0.2940,0,0,1,0.4231,48.5791,28.0471,12.33,20.32,171.97,-0.0605
2.379,0.2912,0.2853,0.2971,0,0,1,0.4203,49.0019,28.5528,12.42,20.21,172.04,-0.0606
2.396,0.2807,0.2712,0.2903,0,0,1,0.4174,47.9819,36.3593,12.49,19.63,172.32,-0.0611
2.427,0.2805,0.2710,0.2900,0,0,1,0.4120,49.1328,38.6505,13.36,18.32,173.00,-0.0618
2.460,0.2814,0.2769,0.2859,0,0,1,0.4066,48.6673,39.5043,14.26,17.71,172.99,-0.0614
2.489,0.2803,0.2702,0.2904,0,0,1,0.4017,50.0125,39.3407,14.35,17.83,173.16,-0.0613
2.505,0.2837,0.2740,0.2935,0,0,1,0.3992,48.6424,39.1070,13.93,17.66,172.92,-0.0612
2.535,0.2858,0.2790,0.2927,0,0,1,0.3944,49.6336,39.7582,15.27,17.22,173.24,-0.0616
2.551,0.2873,0.2782,0.2965,0,0,1,0.3920,48.9920,39.2924,14.73,17.13,173.06,-0.0611
2.583,0.2902,0.2763,0.3041,0,0,1,0.3871,49.6728,39.3128,14.43,17.26,173.30,-0.0609
2.614,0.2966,0.2772,0.3160,0,0,1,0.3826,49.8869,39.3369,14.37,17.36,173.26,-0.0607
2.630,0.2891,0.2793,0.2989,0,0,1,0.3803,50.0651,38.8022,13.71,17.87,173.15,-0.0604
2.662,0.2737,0.2591,0.2883,0,0,1,0.3757,47.7272,39.2800,13.95,17.36,173.16,-0.0599
2.696,0.2223,0.2058,0.2388,0,0,1,0.3710,47.1721,38.3070,15.17,15.47,173.11,-0.0600
2.723,0.1922,0.1964,0.1880,1,1,1,0.3672,48.8728,38.3750,15.49,15.10,173.01,-0.0602
2.754,0.1871,0.1921,0.1821,1,2,1,0.3631,47.7385,38.6016,15.19,15.21,173.06,-0.0601
2.769,0.1735,0.1831,0.1639,1,3,1,0.3612,48.1853,38.8408,15.50,14.47,173.18,-0.0600
2.785,0.1664,0.1852,0.1476,1,4,1,0.3591,50.2501,38.6013,15.64,14.39,173.46,-0.0599
2.818,0.1654,0.1836,0.1471,1,5,1,0.3548,50.4742,38.7365,16.01,13.92,173.55,-0.0600
2.849,0.1711,0.1822,0.1599,1,6,1,0.3510,48.1775,39.0940,15.87,13.57,173.70,-0.0600
2.877,0.1692,0.1785,0.1598,1,7,1,0.3476,46.2118,39.3378,15.61,13.59,173.72,-0.0601
2.894,0.1689,0.1819,0.1559,1,8,1,0.3456,46.1542,39.2345,15.39,13.62,173.89,-0.0603
2.909,0.1737,0.1843,0.1632,1,9,1,0.3438,45.8240,38.1890,15.38,13.99,174.09,-0.0602
2.942,0.1717,0.1784,0.1650,1,10,1,0.3400,45.0248,38.2668,14.85,14.35,174.08,-0.0602
2.975,0.1691,0.1840,0.1541,1,11,1,0.3362,45.9023,37.8629,13.92,15.10,174.17,-0.0605
3.002,0.1757,0.1776,0.1737,1,12,1,0.3331,47.7733,38.6673,13.94,14.26,174.15,-0.0610
3.019,0.1704,0.1692,0.1715,1,13,1,0.3312,46.7134,37.1730,12.63,15.18,174.18,-0.0610
3.050,0.0527,0.0629,0.0426,1,14,1,0.3279,44.0519,33.4047,11.28,27.45,-5.79,-0.0605
3.081,0.0345,0.0468,0.0222,1,15,1,0.3246,40.8083,32.2264,11.62,27.20,-5.46,-0.0608
3.112,0.0650,0.0836,0.0463,1,16,1,0.3213,45.1072,33.9770,14.18,13.56,175.14,-0.0616
3.144,0.1665,0.1770,0.1560,1,17,1,0.3181,43.0915,38.1868,12.14,16.05,174.91,-0.0622
3.174,0.2408,0.2216,0.2601,0,0,2,0.6302,44.8920,38.3119,11.84,16.55,175.01,-0.0624
3.189,0.2715,0.2588,0.2842,0,0,2,0.6272,48.5106,38.6388,11.61,16.50,175.08,-0.0628
3.205,0.2803,0.2650,0.2957,0,0,2,0.6240,49.1652,39.2376,11.03,16.76,175.15,-0.0630
3.221,0.2911,0.2799,0.3023,0,0,2,0.6209,49.6263,39.9194,11.45,16.83,175.23,-0.0627
3.251,0.2929,0.2816,0.3042,0,0,2,0.6152,49.8963,41.7795,10.89,17.04,175.24,-0.0626
3.280,0.2912,0.2802,0.3022,0,0,2,0.6097,49.9769,40.3911,10.79,17.20,175.55,-0.0628
3.297,0.2933,0.2856,0.3011,0,0,2,0.6066,50.7482,41.6951,11.07,17.09,175.68,-0.0626
3.331,0.2974,0.2923,0.3024,0,0,2,0.6004,50.3493,42.3769,11.20,17.24,175.65,-0.0626
3.360,0.3025,0.2976,0.3075,0,0,2,0.5952,49.8433,42.0988,10.69,17.54,175.66,-0.0626
3.393,0.3072,0.2932,0.3213,0,0,2,0.5895,50.8389,42.1583,10.23,17.38,175.68,-0.0626
3.423,0.3102,0.2953,0.3250,0,0,2,0.5843,50.3524,41.7764,9.66,18.04,175.73,-0.0622
3.453,0.3060,0.2983,0.3138,0,0,2,0.5793,49.9605,42.1454,9.99,17.80,175.87,-0.0624
3.468,0.3078,0.3040,0.3117,0,0,2,0.5768,50.0727,42.3908,10.38,17.15,175.79,-0.0624
3.484,0.3100,0.2999,0.3200,0,0,2,0.5741,50.4925,41.6959,9.43,17.72,175.71,-0.0625
3.516,0.3081,0.3000,0.3162,0,0,2,0.5689,50.4157,41.9846,9.15,18.09,175.80,-0.0625
3.546,0.3102,0.3031,0.3173,0,0,2,0.5641,49.9673,42.4573,9.04,17.86,175.79,-0.0627
